Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP▼
99,Jameer Nelson\nelsoja01,PG,27,ORL,65,1860,15.5,.540,.320,.164,1.7,10.1,6.0,32.1,1.3,0.1,15.5,22.3,,2.8,2.2,5.0,.130,,1.6,-0.6,1.0,1.4
100,Beno Udrih\udrihbe01,PG,27,SAC,79,2477,15.7,.566,.237,.168,1.7,8.5,5.1,24.1,1.8,0.3,13.1,18.6,,4.2,1.3,5.5,.107,,1.6,-1.4,0.2,1.4
101,Arron Afflalo\afflaar01,SG,24,DEN,82,2221,10.9,.576,.426,.168,3.1,9.9,6.5,9.3,1.0,1.0,10.5,14.0,,2.8,1.4,4.3,.092,,0.8,-0.5,0.3,1.3
102,Gilbert Arenas\arenagi01,PG,28,WAS,32,1169,18.7,.511,.294,.336,1.6,11.6,6.5,36.3,1.8,0.6,14.2,31.9,,0.9,0.9,1.8,.072,,3.8,-1.3,2.5,1.3
103,Nicolas Batum\batumni01,SF,21,POR,37,918,17.3,.646,.493,.190,4.3,14.8,9.5,8.0,1.4,2.2,8.5,16.4,,2.4,1.1,3.5,.181,,3.2,0.6,3.8,1.3
104,Matt Bonner\bonnema01,PF,29,SAS,65,1161,14.9,.581,.621,.129,5.3,16.1,10.8,9.0,1.4,1.5,9.0,17.0,,2.1,1.6,3.7,.153,,2.1,0.5,2.5,1.3
105,James Harden\hardeja01,SG,20,OKC,76,1738,14.0,.551,.429,.415,3.2,12.7,8.1,12.3,2.4,0.9,13.4,20.4,,2.0,2.5,4.5,.124,,0.7,0.3,1.0,1.3
106,Ersan Ilyasova\ilyaser01,PF,22,MIL,81,1898,15.7,.526,.331,.217,9.0,22.6,15.5,7.5,1.5,1.0,8.2,20.8,,2.5,3.3,5.8,.146,,0.3,0.5,0.8,1.3
107,Luke Ridnour\ridnolu01,PG,28,MIL,82,1759,17.7,.570,.264,.204,1.5,8.1,4.6,31.9,1.6,0.3,12.4,22.0,,4.0,2.2,6.2,.168,,2.4,-1.5,0.9,1.3
108,Dorell Wright\wrighdo01,SF,24,MIA,72,1496,14.5,.567,.375,.165,4.0,14.4,9.2,9.8,1.9,1.7,10.6,15.8,,2.1,2.2,4.3,.137,,0.2,1.3,1.5,1.3
109,Roy Hibbert\hibbero01,C,23,IND,81,2035,16.2,.537,.008,.286,9.4,15.5,12.4,13.5,0.7,4.6,14.1,22.2,,1.6,2.5,4.1,.098,,-1.4,1.8,0.3,1.2
110,Kirk Hinrich\hinriki01,SG,29,CHI,74,2481,11.6,.501,.372,.150,1.1,10.4,5.8,20.5,1.8,0.7,12.3,16.6,,1.2,2.8,4.0,.077,,-0.3,0.3,0.0,1.2
111,Jarrett Jack\jackja01,PG,26,TOR,82,2243,16.3,.599,.297,.359,1.6,9.8,5.8,27.7,1.4,0.2,17.3,19.1,,4.5,0.2,4.8,.102,,2.5,-2.3,0.1,1.2
112,Kendrick Perkins\perkike01,C,25,BOS,78,2154,15.0,.613,.006,.536,9.1,24.4,16.9,6.0,0.6,4.8,20.4,17.6,,1.4,3.8,5.2,.117,,-2.5,2.7,0.2,1.2
113,Kenyon Martin\martike01,PF,32,DEN,58,1986,13.4,.481,.047,.269,8.3,23.3,15.8,8.5,1.8,2.3,11.6,17.5,,0.4,2.8,3.3,.079,,-2.0,2.2,0.2,1.1
114,Mickael Pietrus\pietrmi01,SF,27,ORL,75,1687,11.9,.555,.568,.202,2.8,11.6,7.4,4.7,1.6,1.4,10.5,18.0,,1.2,2.5,3.6,.103,,0.2,0.5,0.7,1.1
115,Tayshaun Prince\princta01,SF,29,DET,49,1664,16.0,.530,.126,.169,4.9,13.8,9.0,16.9,1.1,1.1,8.8,18.9,,2.6,0.6,3.2,.091,,1.2,-0.5,0.7,1.1
116,Luis Scola\scolalu01,PF,29,HOU,82,2671,17.2,.550,.005,.245,7.2,23.6,15.1,11.1,1.2,0.7,11.9,22.7,,3.4,3.0,6.3,.114,,-0.8,0.4,-0.4,1.1
117,Marvin Williams\willima02,SF,23,ATL,81,2468,13.0,.540,.199,.324,5.0,14.8,9.8,5.6,1.4,1.4,8.7,15.5,,3.1,2.6,5.7,.112,,-0.5,0.4,-0.2,1.1
118,Mike Bibby\bibbymi01,PG,31,ATL,80,2195,12.7,.538,.503,.123,1.1,8.8,4.9,20.8,1.6,0.1,11.7,16.1,,3.0,1.7,4.8,.104,,1.2,-1.5,-0.2,1.0
119,DeJuan Blair\blairde01,PF,20,SAS,82,1494,17.7,.564,.004,.325,16.0,25.1,20.6,7.1,1.8,1.9,16.5,20.8,,1.8,2.8,4.6,.147,,-0.7,1.4,0.7,1.0
120,Caron Butler\butleca01,SF-SG,29,TOT,74,2783,13.7,.507,.138,.300,4.3,14.9,9.5,9.2,2.2,0.7,11.9,22.1,,0.6,2.9,3.5,.061,,-1.1,0.4,-0.6,1.0
121,Nick Collison\collini01,C,29,OKC,75,1557,13.1,.616,.013,.346,11.5,16.7,14.2,3.7,1.2,2.3,15.0,12.1,,2.6,2.2,4.7,.146,,-0.6,1.2,0.6,1.0
